symbol,current_price_usd,daily_volume_traded,daily_perc_change,daily_hour_high,daily_hour_low
tAIDBTC,7.8e-7,1254249.30660939,0,1.19e-6,1.19e-6
tAIDETH,5.503e-5,1541741.84083133,-0.11,5.64e-5,5.629e-5
tSNGUSD,0.0068959,1712686.36076843,0,0.012328,0.012328
tSNGBTC,1.02e-6,2604450.60315045,0,1.13e-6,1.13e-6
tSNGETH,4.632e-5,3281866.26824618,0,4.986e-5,4.986e-5
tREPUSD,8.5622,903.16073399,0,10.348,10.348
tREPBTC,0.0014181,1134.62786961,0,0.0014479,0.0014479
tREPETH,0.070621,1223.24857092,0,0.072369,0.072369
tELFUSD,0.059495,109446.07827363,-4.87,0.068382,0.06505
tELFBTC,8.38e-6,181134.72613226,0.84,9.47e-6,8.63e-6
tELFETH,3.9997e-4,245056.80082461,5.17,4.5875e-4,4.362e-4
tNECUSD,0.098863,498971.23828518,0,0.098863,0.093825
tNECBTC,1.008e-5,25468.89379434,0,1.92e-5,1.909e-5
tNECETH,5.95e-4,44204.10276996,7.5600000000000005,6.4e-4,5.95e-4
tBTCGBP,5886.8,45.56987659,-2.74,6130.8,5856.81863018
tETHEUR,138.73,1487.67723261,-3.08,144.04,137.49
tETHJPY,16736,1401.982584,-3.15,17334,16598
tETHGBP,118.24,1626.01777652,-3.08,122.34,117.94
tNEOEUR,8.5078,5566.42684099,-5.050000000000001,8.9594,8.4044
tNEOJPY,1026.2,5895.69018979,-5.04,1069.69999956,1015.80000044
tNEOGBP,7.2512,5620.16668527,-4.55,7.5584,7.2142
tEOSEUR,2.5046,36124.26362728,-1.6500000000000001,2.5822,2.4792
tEOSJPY,301.83,37356.59071748,-2.1,311.62000053,300.73999991
tEOSGBP,2.1326,46664.3347222,-1.87,2.1983,2.1237
tIOTJPY,22.802,124983.36508461,-4.95,24.03278733,22.64899955
tIOTGBP,0.16111,124327.4559937,-4.2299999999999995,0.16953,0.15997
tIOSUSD,0.0046,401118.78284832,2.87,0.0059,0.0057355
tIOSBTC,6e-7,1561792.4000622,0,7.1e-7,7.1e-7
tIOSETH,2.204e-5,188472.18691398,0,3.572e-5,3.572e-5
tAIOUSD,0.060031,149820.04828009,0.44999999999999996,0.06285,0.062569
tAIOBTC,7.72e-6,224808.037037,0.01,8.43e-6,8.42e-6
tAIOETH,2.0169e-4,186691.17866201,0,4.3295e-4,4.3295e-4
tREQUSD,0.009999,579059.91674803,0,0.016616,0.016616
tREQBTC,1.49e-6,1146642.61592446,0,1.98e-6,1.98e-6
tREQETH,9.575e-5,117325.64089768,0,9.898e-5,9.838e-5
tRDNUSD,0.11685,198390.1939281,0,0.11983,0.11983
tRDNBTC,1.742e-5,177287.34469663,-0.05,2.512e-5,2.507e-5
tRDNETH,5.7444e-4,111626.17212675,0,8.7879e-4,8.5956e-4
tLRCUSD,0.020099,743294.79490974,0,0.023103,0.023103
tLRCBTC,3.11e-6,623194.19622709,0,3.5e-6,3.5e-6
tLRCETH,1.6112e-4,312732.45216235,0,1.5498e-4,1.5498e-4
tWAXUSD,0.0255,217837.67907189,0,0.028,0.028
tWAXBTC,3.21e-6,582478.18619823,0,3.29e-6,3.29e-6
tWAXETH,1.6e-4,891722.18164802,0,1.85e-4,1.85e-4
tDAIUSD,1.0009,26251.37461277,-0.12,1.0096,1.0006
tDAIBTC,1.3074e-4,133312.18903564,0.33999999999999997,1.3612e-4,1.2782e-4
tDAIETH,0.006249,62916.1883263,-0.64,0.0065361,0.0064167
tAGIUSD,0.018002,232409.92994505,4.36,0.023007,0.017445
tAGIBTC,2.45e-6,1246327.94865176,0,2.56e-6,2.56e-6
tAGIETH,1.0133e-4,908497.11648282,0,1.2064e-4,1.2064e-4
tBFTUSD,0.011779,5192980.84293435,0,0.012022,0.012022
tBFTBTC,1.44e-6,2207856.84134933,0,1.74e-6,1.74e-6
tBFTETH,7.53e-5,697748.37534624,0,8.629e-5,8.629e-5
tMTNUSD,0.0021008,6110972.10541055,0,0.0035158,0.0035158
tMTNBTC,2.1e-7,3118586.85548111,0,4.3e-7,4.3e-7
tMTNETH,6.71e-6,620278.65114218,-0.22,2.122e-5,2.1e-5
tODEUSD,0.06055,263346.27360122,10.01,0.0725,0.058
tODEBTC,7.66e-6,554628.70566952,0.33999999999999997,9.29e-6,7.46e-6
tODEETH,3.1054e-4,330799.36293077,0,3.8234e-4,3.8234e-4
tANTUSD,0.44122,42205.3656008,0,0.5,0.5
tANTBTC,7.209e-5,152466.58402447,-3.1,7.574e-5,7.08e-5
tANTETH,0.0030702,36972.43383834,0,0.003934,0.003934
tDTHUSD,0.0013509,3787981.11979,0,0.0028565,0.0028565
tDTHBTC,3.1e-7,1049826,0,3.9e-7,3.9e-7
tDTHETH,1.11e-5,418208.99910496,0,1.156e-5,1.156e-5
tMITUSD,0.004458,856904.06808479,0,0.009515,0.009415
tMITBTC,1.16e-6,945250.98352667,0,1.36e-6,1.36e-6
tMITETH,1.537e-5,171990.07295442,-9.379999999999999,7.048e-5,6.11e-5
tSTJUSD,0.10434,653712.56183279,0,0.12268,0.12268
tSTJBTC,1.616e-5,50042.60370676,0,1.692e-5,1.692e-5
tSTJETH,8.0295e-4,37981.23755238,2.19,8.7091e-4,8.7091e-4
tXLMUSD,0.05747,716904.61507433,-4.52,0.0602,0.057379
tXLMEUR,0.052159,716904.61507433,-3.36,0.053982,0.052167
tXLMJPY,6.2919,670489.89495754,0,6.33729987,6.33729987
tXLMGBP,0.044456,713896.2935866,-3.6799999999999997,0.046081,0.044386
tXLMBTC,7.53e-6,725646.71668271,-0.03,7.66e-6,7.54e-6
tXLMETH,3.7483e-4,156747.05641936,-0.8099999999999999,3.8331e-4,3.7888e-4
tXVGUSD,0.0039961,1401069.35650969,-7.4399999999999995,0.0043374,0.004
tXVGEUR,0.0036268,1460437.09543785,0,0.0038464,0.0038464
tXVGJPY,0.4375,1406069.35650969,0,0.45132827,0.45132827
tXVGGBP,0.0030911,1406069.35650969,0,0.00313371,0.0031337
tXVGBTC,5.1e-7,4917136.55084033,-0.02,5.5e-7,5.1e-7
tXVGETH,2.314e-5,1714614.01203577,-1.01,2.706e-5,2.594e-5
tBCIUSD,0.025829,45062.62845425,-3.4299999999999997,0.03,0.025837
tBCIBTC,3.03e-6,192060.09352571,0,4e-6,4e-6
tMKRUSD,538.15,32.47504722,-3.83,581.45,534.65
tMKRBTC,0.0722,97.57009939,4.06,0.079773,0.067586
tMKRETH,3.5362,59.96445767,0.7100000000000001,3.689,3.376
tKNCUSD,0.15004,41187.57629416,0,0.1456,0.1456
tKNCBTC,2.41e-5,257575.00418358,0.44999999999999996,2.387e-5,2.342e-5
tKNCETH,9.4685e-4,196313.73176312,0,0.0011782,0.0011782
tPOAUSD,0.013602,320002.11689112,0,0.0156,0.0156
tPOABTC,1.78e-6,1393510.90537369,0,2.31e-6,2.31e-6
tPOAETH,6.075e-5,260825.69320135,0,1e-4,1e-4
tLYMUSD,0.0025011,4175019.24842619,0,0.0044991,0.0044991
tLYMBTC,3.2e-7,3062000,0,5.2e-7,5.2e-7
tLYMETH,1.37e-6,544879.52375254,0,1.898e-5,1.898e-5
tUTKUSD,0.010655,10083936.5661378,0,0.01592,0.01592
tUTKBTC,2.01e-6,116880.78971842,0.04,2.04e-6,1.95e-6
tUTKETH,1.0054e-4,66838.79687739,2.52,1.0253e-4,9.947e-5
tVEEUSD,0.0011119,16120700.348474,0,0.0015,0.0015
tVEEBTC,1.8e-7,4104058.59629495,-0.1,3.3e-7,1.9e-7
tVEEETH,7.21e-6,476595.34011811,0,1.156e-5,1.156e-5
tDADUSD,0.03,5307327.25719031,0,0.03847,0.03847
tDADBTC,4.41e-6,682531,0,4.59e-6,4.59e-6
tDADETH,2.1568e-4,314938.58554464,-0.72,2.3545e-4,2.3376e-4
tORSUSD,0.032,2377040.69041589,0,0.032,0.032
tORSBTC,3.16e-6,908985.82278481,0,3.51e-6,3.51e-6
tORSETH,1.9621e-4,226791.16827148,0,2.109e-4,2.109e-4
tAUCUSD,0.0020015,2335339.75126097,0,0.0034567,0.0034567
tAUCBTC,1.7e-7,782617.16033217,0,4.1e-7,4.1e-7
tAUCETH,2.32e-6,1609242.73677829,0,1.975e-5,1.975e-5
tPOYUSD,0.017484,3080753.821146,0,0.022392,0.022392
tPOYBTC,2.3e-6,1075800.3409,0,2.96e-6,2.96e-6
tPOYETH,1.1739e-4,243201.17724978,0,1.4505e-4,1.4505e-4
tFSNUSD,0.2263,445783.67057073,0,0.28,0.28
tFSNBTC,3e-5,154880,1.76,4.3e-5,4.123e-5
tFSNETH,0.0015917,27326.1301027,0,0.0016972,0.0016945
tCBTUSD,0.021185,587687,0,0.021862,0.021862
tCBTBTC,1.99e-6,737111.23626369,-0.1,3.15e-6,3.05e-6
tCBTETH,1.1546e-4,1723516.64589243,0,1.5222e-4,1.5222e-4
tZCNUSD,0.033703,1832288,-1.8499999999999999,0.034598,0.033959
tZCNBTC,4.31e-6,316774.62647171,0,5.09e-6,5.02e-6
tZCNETH,2.1007e-4,233354.73367598,0,2.192e-4,2.192e-4
tSENUSD,5.1019e-4,4154146.7680768,0,0.0010195,0.0010195
tSENBTC,3e-8,562951.92471395,0,1.4e-7,1.4e-7
tSENETH,2.97e-6,3588135.79498841,0,5.05e-6,5.05e-6
tNCAUSD,8.005e-4,6283000,-0.25,9.9682e-4,9.9431e-4
tNCABTC,9e-8,2040283.46109389,0,1.3e-7,1.3e-7
tNCAETH,2.4e-7,589869.36363636,0,6.99e-6,6.99e-6
tCNDUSD,0.0064041,3769797.01426359,0,0.0185,0.0185
tCNDBTC,9.8e-7,791297.40575533,0,9.9e-7,9.9e-7
tCNDETH,3.865e-5,569173.72792925,0,5.953e-5,5.953e-5
tCTXUSD,0.080032,1323088.05880758,-3.09,0.092866,0.09
tCTXBTC,2.04e-6,120394.65466842,0.8999999999999999,1.43e-5,1.34e-5
tCTXETH,5.2601e-4,1198618.86881751,0,7.5e-4,7.5e-4
tPAIUSD,0.010003,2689493.12645357,0,0.014,0.014
tPAIBTC,1.42e-6,769354.71736279,0,1.91e-6,1.91e-6
tSEEUSD,2.8291e-4,21842687.7627498,1.79,4.3966e-4,4.3192e-4
tSEEBTC,5e-8,6017273.75,0,8e-8,8e-8
tSEEETH,1.5e-6,3852215,-0.03,1.61e-6,1.58e-6
tESSUSD,4.8e-4,6251571.33461247,0,5.029e-4,5.029e-4
tESSBTC,5e-8,3461000,0,1.4e-7,1.4e-7
tESSETH,2.49e-6,1926633.94684209,0,3.12e-6,3.12e-6
tATMUSD,2.0741e-4,16536415.3016599,0,2.1337e-4,2.1337e-4
tATMBTC,1e-8,600000,0,5e-8,5e-8
tATMETH,1.11e-6,3058018.01801801,-0.26,1.51e-6,1.25e-6
tHOTUSD,0.0026513,319270.34762859,0,0.002651,0.002651
tHOTBTC,3.4e-7,1886795.56257902,0,3.2e-7,3.2e-7
tHOTETH,1.65e-5,1051776.17900677,0,1.898e-5,1.898e-5
tDTAUSD,2.4031e-4,3351357.73500761,0,2.5003e-4,2.5003e-4
tDTABTC,3e-8,3905542.75268986,0,5e-8,5e-8
tDTAETH,1.71e-6,1524553.07825326,0,1.97e-6,1.97e-6
tIQXUSD,0.001264,2186298.34565756,-4.87,0.0017389,9.704e-4
tIQXBTC,1.3e-7,1226963.11111111,0,1.6e-7,1.6e-7
tIQXEOS,5e-4,1574327.44107191,0,5.302e-4,5.302e-4
tWPRUSD,0.0056852,431903.49735247,0,0.00948,0.00948
tWPRBTC,6.8e-7,246869.17636435,0,1.2e-6,1.2e-6
tWPRETH,3.897e-5,384476.00625698,0,6.003e-5,5.9e-5
tZILUSD,0.006344,156238.94996644,-4.45,0.0084,0.0066125
tZILBTC,9.2e-7,1401355.83925761,0,1.09e-6,1.09e-6
tZILETH,3.55e-5,1924712.33380754,0,4.337e-5,4.337e-5
tBNTUSD,0.2703,508841.139167,0,0.27292,0.27292
tBNTBTC,3.537e-5,182955.63789131,-1.29,3.723e-5,3.56e-5
tBNTETH,0.0016491,186583.51006423,2.71,0.0016745,0.0016302999999999999
tABSUSD,0.0085583,58898.373283,0,0.0086512,0.0086512
tABSETH,5.583e-5,337800.61994667,0,5.772e-5,5.772e-5
tXRAUSD,0.00422,2059701,0,0.006,0.006
tXRAETH,1.821e-5,4634560.92596861,0,3.15e-5,3.15e-5
tMANUSD,0.051135,1360577.8227201,0,0.13372,0.12755
tMANETH,5e-4,125453.22229639,0,5.6408e-4,5.6408e-4
tBBNUSD,2.203e-4,7524469.65319559,-12.64,2.5634e-4,2.203e-4
tBBNETH,9.3e-7,2978231.91653822,0,1.6e-6,1.6e-6
tNIOUSD,0.00148,2176786.67483237,0,0.0015129,0.0015129
tNIOETH,7.01e-6,180944.92672857,-9.569999999999999,1.607e-5,4.11e-6
tDGXUSD,45.637,344.36499144,-0.22,46.024,45.513
tDGXETH,0.29456,215.87933649,0.9299999999999999,0.29452,0.2917
tVETUSD,0.0060006,1810233.26017608,-0.33999999999999997,0.0066,0.0061798
tVETBTC,8e-7,28960362.3194742,-0.03,8.4e-7,7.9e-7
tVETETH,3.967e-5,832821.26007302,-1.8800000000000001,4.198e-5,3.999e-5
tUTNUSD,0.00191,2153357.92153416,0.9299999999999999,0.00238,0.00191
tUTNETH,1.303e-5,389898.46574749,0.66,1.553e-5,1.4e-5
tTKNUSD,0.22803,1330896.5342587,0,0.263,0.26105
tTKNETH,0.0014828,185643.09032134,-4.73,0.001711,0.0015
tGOTUSD,0.21202,379553.57860851,-1.81,0.20836,0.20459
tGOTEUR,0.19242,389553.57860851,0,0.21772,0.17947
tGOTETH,6.3001e-4,74437.09163918,0,9.5363e-4,9.5363e-4
tXTZUSD,1.3186,92680.84595,0.04,1.3672,1.3045
tXTZBTC,1.7282e-4,96469.95927198,3.08,1.7561e-4,1.6558e-4
tCNNUSD,4.75e-5,17854871.1751724,-5.489999999999999,5.5e-5,4.951e-5
tCNNETH,3.1e-7,21189142.1640011,0,3.4e-7,3.4e-7
tBOXUSD,0.0023163,4467222.75222953,0,0.0070389,0.0070389
tBOXETH,1.701e-5,692507.89030889,0,2.607e-5,2.607e-5
tTRXEUR,0.014133,3363839.01119397,-0.9299999999999999,0.014803,0.01458496
tTRXGBP,0.012046,3475489.68336171,0,0.012231,0.012231
tTRXJPY,1.7049,3274123.51641116,0,1.7691004,1.7691004
tMGOUSD,0.01107,72238.30005929,19.12,0.014206,0.010606
tMGOETH,2.02e-6,220900.990099,0,6.521e-5,6.521e-5
tRTEUSD,6.6639e-4,12321409.4219296,-4.17,6.9912e-4,6.7e-4
tRTEETH,8.5e-7,3396111,0,5.74e-6,5.74e-6
tYGGUSD,2.6219e-4,179190770.882774,0,3.8e-4,3.8e-4
tYGGETH,1.52e-6,1968310.0091245,0,1.6e-6,1.6e-6
tMLNUSD,3.42,9071334.85327975,0,3.4,3.4
tMLNETH,0.013387,1155092.30150722,0,0.013991,0.013991
tWTCUSD,0.40889,168323.45021885,0,0.50907,0.50907
tWTCETH,0.0034146,10116.01633658,0,0.0034723,0.0034723
tCSXUSD,0.06214,2690476.11871393,0,0.097448,0.097447
tCSXETH,3.51e-4,68408.32144819,0,6.6291e-4,6.6291e-4
tOMNUSD,3.01,408694.86463819,-21.13,3.9366,3.1046
tOMNBTC,3e-4,164894.13151842,-1.5699999999999998,4.406e-4,4.337e-4
tINTUSD,0.0184,185593.58982926,-20.93,0.023722,0.018757
tINTETH,1.21e-4,53064.53028653,0,1.55e-4,1.55e-4
tDRNUSD,0.0175,3541563.714,-1.66,0.025164,0.024746
tDRNETH,1.1201e-4,33919.27547211,0,1.35e-4,1.35e-4
tPNKUSD,0.0068804,7895837.45868784,0,0.0086382,0.0086382
tPNKETH,4.911e-5,243650.74387306,1.7399999999999998,5.274e-5,5.1e-5
tDGBUSD,0.00637,542928.56540294,18.6,0.008,0.0067453
tDGBBTC,8.7e-7,3470670.61051562,-0.01,8.9e-7,8.8e-7
tBSVUSD,107.67,1572.61981149,-2.2399999999999998,111.51,106.09
tBSVBTC,0.014171,2308.79631309,-0.02,0.014197,0.01385
tBABUSD,220.08,499.25863335,-2.73,227.8,218.39
tBABBTC,0.028907,667.04656324,-0.27,0.029068,0.028606
tWLOUSD,0.0083987,256283.3693698,7.31,0.010195,0.0083519
tWLOXLM,0.09957,1316729.34121723,0,0.1365,0.1365
tVLDUSD,0.0018498,3737387.2472372,-3.1300000000000003,0.0019387,0.001878
tVLDETH,1.203e-5,100678555.352754,0,1.495e-5,1.212e-5
tENJUSD,0.053952,1975526.07175256,0,0.053939,0.053939
tENJETH,3.7037e-4,22756.44952666,0,4.1029e-4,4.1029e-4
tONLUSD,0.00661,4799054.71394143,-4.32,0.017873,0.0171
tONLETH,3.202e-5,25334.85235562,-56.98,1.29e-4,5.55e-5
tRBTUSD,7200.3,5545.34822624,0,7200.1,7200.1
tRBTBTC,0.96291,11113.35883155,-1.37,0.97661,0.9425
tUSTUSD,1.0058,1114916.07513136,-0.05,1.0064,1.0055
tEUTEUR,0.95406,9983113.61257528,0,1.00484817,1.00222714
tEUTUSD,1.0512,9983113.61257528,0,1.1118,1.1089
tGSDUSD,0.991,4198459.88668824,0,0.99101,0.99101
tUDCUSD,1.0019,396678.70985701,-0.3,1.039,1.0008
tTSDUSD,0.99194,1483017.6371868,-1.0699999999999998,1.009,0.99511
tPAXUSD,1.0038,2940241.62755678,-49.7,1.999,0.9993
tRIFUSD,0.05001,984726.6221258,0,0.0512,0.0512
tRIFBTC,8.1e-6,392153.75938,-0.6,9.2e-6,8.3e-6
tPASUSD,0.002,1885090.66501813,-0.2,0.0024464,0.0024173
tPASETH,6.02e-6,103272.34233089,0,1.15e-5,1.15e-5
tVSYUSD,0.053503,1535686.58547332,-3.74,0.05736,0.0369
tVSYBTC,7.15e-6,121730.61,-0.36,7.49e-6,7.09e-6
tZRXDAI,0.23152,1306401.46309306,0,0.35019,0.35018
tMKRDAI,535.67,10020.11909193,-0.43,572.98,536.02
tOMGDAI,0.45192,16708.93071671,0,0.59701,0.59701
tBTTUSD,3.1033e-4,9908523.05944027,-3.85,3.2751e-4,3.1251e-4
