symbol,current_price_usd,daily_volume_traded,daily_perc_change,daily_hour_high,daily_hour_low
tUSKEOS,5e-6,320000,-1.8499999999999999,0.27,0.265
tGTXUST,0.21111,15160,0,0.4,0.4
tKANUST,0.002002,59824.152672,-1.6199999999999999,0.002054,0.001993
tAMPUSD,1.0527,6729.5160523,2.45,1.0681,0.98302
tALGUSD,0.24129,234026.20456985,0,0.26826,0.26826
tALGBTC,3.5e-5,253136.66710357,-0.7000000000000001,3.59e-5,3.49e-5
tALGUST,0.26598,1331317.93032557,-0.5,0.27565,0.27392
tBTCXCH,7525.7,7.40834671,0,7499.1,7499.1
tSWMUSD,0.015002,2287250,-6.22,0.03295,0.0309
tSWMETH,8.93e-5,211811.43447745,0,2.12e-4,2.12e-4
tTRIUSD,6.3011e-4,9386844.90541853,0,0.0017003,0.0017
tTRIETH,8.92e-6,169965.08274468,-0.1,9.21e-6,9.11e-6
tLOOUSD,0.015,2660536,-6.83,0.0161,0.015
tLOOETH,7.526e-5,15433.62695989,0,1.2568e-4,1.2568e-4
tBTCF0:USTF0,7562.1,22.15486431,-2.81,7845.2,7520.8
tETHF0:USTF0,151.94,1783.7303,-2.75,155.4,151.13
tAMPUST,1.0437,17148.874334,2.6,1.0643,0.9676
tDUSK:USD,0.04261,3041323.11004139,4.81,0.0435,0.04094
tDUSK:BTC,5.65e-6,438397.32646,0.33,5.75e-6,5.29e-6
tUOSUSD,0.028293,288549.5285079,4.08,0.029662,0.027613
tUOSBTC,3.8e-6,1016530.25976169,0.08,3.95e-6,3.41e-6
tRRBUSD,1.0484,1443345.79560188,0,1.044,1.044
tRRBUST,1.0511,32799.99109088,-4.05,1.1,1.0422
tDTXUSD,1.6417,11078.97211141,0,2.627,2.627
tDTXUST,1.886,3503.1117,0,1.704,1.704
tAMPBTC,1.2711e-4,4401.15904098,0,1.2609e-4,1.2609e-4
tFTTUSD,1.4838,9450.16023536,-2.58,1.5297,1.4734
tFTTUST,1.477,34281.53821318,-0.95,1.4881,1.4665
tPAXUST,0.13003,17609.54400259,0,0.9981,0.9981
tUDCUST,0.83123,4619.23199783,0,0.89557,0.89557
tTSDUST,0.30002,6915.58463847,-83.3,0.95788,0.07
tBTC:CNHT,53142,507.57910204,0,54410,54410
tUST:CNHT,7.044,4420566.34893269,0,7.0796,7.0772
tCNH:CNHT,0.9999,1028931.92268597,0,0.9999,0.9999
tCHZUSD,0.009,660431.75553415,0,0.0111,0.011
tCHZUST,5.01e-4,277003.71880994,0,0.014997,0.014997
fUSD,3.48964383561644e-4,2.32e-4,200,-0.0457,2.3953e-4
fGBP,3.33164383561644e-4,1.93e-4,200,0.713,2.6552e-4
fEUR,1.936e-4,1.4099e-4,200,0,1.0959e-4
fBTC,6.00849315068493e-5,3.1e-5,200,0.5991,1.0651e-4
fLTC,1.63534246575342e-5,1.4e-5,200,0.0144,1.754e-5
fETH,1.00665753424658e-4,2e-5,200,-0.07,7.997e-5
fETC,6.51506849315069e-6,1e-5,200,-0.0248,3.53e-6
fZEC,1.10690410958904e-4,0,200,0.3824,7.956e-5
fXMR,3.48493150684931e-6,0,200,-4e-4,9.6e-7
fDSH,0.00156192876712329,7.5e-5,200,-0.8673,9.9978e-4
fJPY,4.61123287671233e-4,1.1e-4,200,0.9218,3.3975e-4
fXRP,1.50605479452055e-4,3.1e-5,200,0.016,6.667e-5
fIOT,9.91780821917808e-7,1e-8,200,0.0013,9.9e-7
fEOS,1.97534246575342e-6,2.3e-6,200,4e-4,1.98e-6
fSAN,8.08219178082192e-7,5e-7,200,0.0018,9.1e-7
fOMG,7.31780821917808e-6,1.5e-5,200,0,7.06e-6
fNEO,1.30980821917808e-4,5e-5,200,0.0341,8.941e-5
fETP,2.04657534246575e-6,0,200,-0.0056,1.4e-6
fEDO,1.13293150684932e-4,3.31e-5,200,0.0018,6.1e-7
fBTG,9.19945205479452e-5,2e-5,200,-0.8973,8.219e-5
fZRX,1.1593698630137e-4,4e-5,200,-0.0119,8.1e-5
fXLM,2.27041095890411e-5,0,200,-0.006,1.138e-5
fXTZ,2.8047397260274e-4,0,200,0,2.9e-4
fBSV,6.7813698630137e-5,2.1e-5,200,0.023,8.53e-5
fBAB,5.63780821917808e-5,3e-5,200,0.0029,5.479e-5
fUST,3.39084931506849e-4,2.1e-4,200,-0.0172,2.9483e-4
fLEO,1.0958904109589e-8,0,200,0,1e-8
